individual,length,size,stimulus,stim_order,response,treatment,stimulus_treat,stim
201,13,xlarge,0,9,0,Girdle,Girdle Control,Control
201,13,xlarge,0,20,0,Girdle,Girdle Control,Control
201,13,xlarge,0,23,0,Girdle,Girdle Control,Control
201,13,xlarge,0,24,0,Girdle,Girdle Control,Control
202,7,medium,0,3,0,Girdle,Girdle Control,Control
202,7,medium,0,6,0,Girdle,Girdle Control,Control
202,7,medium,0,13,0,Girdle,Girdle Control,Control
202,7,medium,0,19,0,Girdle,Girdle Control,Control
202,7,medium,0,33,0,Girdle,Girdle Control,Control
203,8,medium,0,4,0,Girdle,Girdle Control,Control
203,8,medium,0,13,0,Girdle,Girdle Control,Control
203,8,medium,0,17,0,Girdle,Girdle Control,Control
203,8,medium,0,18,0,Girdle,Girdle Control,Control
203,8,medium,0,28,0,Girdle,Girdle Control,Control
204,8,medium,0,10,0,Girdle,Girdle Control,Control
204,8,medium,0,14,0,Girdle,Girdle Control,Control
204,8,medium,0,15,0,Girdle,Girdle Control,Control
204,8,medium,0,18,0,Girdle,Girdle Control,Control
204,8,medium,0,19,0,Girdle,Girdle Control,Control
205,9,medium,0,11,0,Girdle,Girdle Control,Control
205,9,medium,0,12,0,Girdle,Girdle Control,Control
205,9,medium,0,18,0,Girdle,Girdle Control,Control
205,9,medium,0,26,0,Girdle,Girdle Control,Control
205,9,medium,0,27,0,Girdle,Girdle Control,Control
206,7,medium,0,4,0,Girdle,Girdle Control,Control
206,7,medium,0,9,0,Girdle,Girdle Control,Control
206,7,medium,0,11,0,Girdle,Girdle Control,Control
206,7,medium,0,26,0,Girdle,Girdle Control,Control
206,7,medium,0,29,0,Girdle,Girdle Control,Control
207,9,medium,0,9,1,Girdle,Girdle Control,Control
207,9,medium,0,12,0,Girdle,Girdle Control,Control
207,9,medium,0,17,0,Girdle,Girdle Control,Control
207,9,medium,0,21,0,Girdle,Girdle Control,Control
207,9,medium,0,22,0,Girdle,Girdle Control,Control
208,9,medium,0,8,0,Girdle,Girdle Control,Control
208,9,medium,0,18,0,Girdle,Girdle Control,Control
208,9,medium,0,25,0,Girdle,Girdle Control,Control
208,9,medium,0,27,0,Girdle,Girdle Control,Control
208,9,medium,0,32,0,Girdle,Girdle Control,Control
209,7,medium,0,1,0,Girdle,Girdle Control,Control
209,7,medium,0,4,0,Girdle,Girdle Control,Control
209,7,medium,0,13,0,Girdle,Girdle Control,Control
209,7,medium,0,17,0,Girdle,Girdle Control,Control
209,7,medium,0,23,0,Girdle,Girdle Control,Control
210,11,large,0,8,0,Girdle,Girdle Control,Control
210,11,large,0,10,0,Girdle,Girdle Control,Control
210,11,large,0,14,1,Girdle,Girdle Control,Control
210,11,large,0,16,0,Girdle,Girdle Control,Control
210,11,large,0,32,0,Girdle,Girdle Control,Control
211,7,medium,0,4,0,Girdle,Girdle Control,Control
211,7,medium,0,9,0,Girdle,Girdle Control,Control
211,7,medium,0,26,0,Girdle,Girdle Control,Control
211,7,medium,0,33,0,Girdle,Girdle Control,Control
211,7,medium,0,35,0,Girdle,Girdle Control,Control
212,7,medium,0,9,0,Girdle,Girdle Control,Control
212,7,medium,0,12,0,Girdle,Girdle Control,Control
212,7,medium,0,17,0,Girdle,Girdle Control,Control
212,7,medium,0,21,0,Girdle,Girdle Control,Control
212,7,medium,0,22,0,Girdle,Girdle Control,Control
213,7,medium,0,9,0,Girdle,Girdle Control,Control
213,7,medium,0,12,0,Girdle,Girdle Control,Control
213,7,medium,0,17,0,Girdle,Girdle Control,Control
213,7,medium,0,21,0,Girdle,Girdle Control,Control
213,7,medium,0,22,0,Girdle,Girdle Control,Control
214,8,medium,0,8,0,Girdle,Girdle Control,Control
214,8,medium,0,18,0,Girdle,Girdle Control,Control
214,8,medium,0,25,0,Girdle,Girdle Control,Control
214,8,medium,0,27,0,Girdle,Girdle Control,Control
214,8,medium,0,32,0,Girdle,Girdle Control,Control
215,9,medium,0,1,0,Girdle,Girdle Control,Control
215,9,medium,0,4,0,Girdle,Girdle Control,Control
215,9,medium,0,13,0,Girdle,Girdle Control,Control
215,9,medium,0,17,0,Girdle,Girdle Control,Control
215,9,medium,0,23,0,Girdle,Girdle Control,Control
216,9,medium,0,8,0,Girdle,Girdle Control,Control
216,9,medium,0,10,0,Girdle,Girdle Control,Control
216,9,medium,0,14,0,Girdle,Girdle Control,Control
216,9,medium,0,16,0,Girdle,Girdle Control,Control
216,9,medium,0,32,0,Girdle,Girdle Control,Control
217,6,small,0,4,0,Girdle,Girdle Control,Control
217,6,small,0,9,0,Girdle,Girdle Control,Control
217,6,small,0,26,0,Girdle,Girdle Control,Control
217,6,small,0,33,0,Girdle,Girdle Control,Control
217,6,small,0,35,0,Girdle,Girdle Control,Control
218,10,large,0,7,0,Girdle,Girdle Control,Control
218,10,large,0,9,0,Girdle,Girdle Control,Control
218,10,large,0,16,0,Girdle,Girdle Control,Control
218,10,large,0,22,0,Girdle,Girdle Control,Control
218,10,large,0,31,0,Girdle,Girdle Control,Control
219,7,medium,0,4,0,Girdle,Girdle Control,Control
219,7,medium,0,16,0,Girdle,Girdle Control,Control
219,7,medium,0,19,0,Girdle,Girdle Control,Control
219,7,medium,0,21,0,Girdle,Girdle Control,Control
219,7,medium,0,26,0,Girdle,Girdle Control,Control
220,8,medium,0,9,0,Girdle,Girdle Control,Control
220,8,medium,0,12,0,Girdle,Girdle Control,Control
220,8,medium,0,17,0,Girdle,Girdle Control,Control
220,8,medium,0,21,0,Girdle,Girdle Control,Control
220,8,medium,0,22,0,Girdle,Girdle Control,Control
221,7,medium,0,4,0,Girdle,Girdle Control,Control
221,7,medium,0,19,0,Girdle,Girdle Control,Control
221,7,medium,0,24,0,Girdle,Girdle Control,Control
221,7,medium,0,29,0,Girdle,Girdle Control,Control
221,7,medium,0,36,0,Girdle,Girdle Control,Control
222,7,medium,0,4,0,Girdle,Girdle Control,Control
222,7,medium,0,10,0,Girdle,Girdle Control,Control
222,7,medium,0,15,0,Girdle,Girdle Control,Control
222,7,medium,0,33,0,Girdle,Girdle Control,Control
222,7,medium,0,34,0,Girdle,Girdle Control,Control
223,8,medium,0,1,0,Girdle,Girdle Control,Control
223,8,medium,0,4,0,Girdle,Girdle Control,Control
223,8,medium,0,5,0,Girdle,Girdle Control,Control
223,8,medium,0,11,0,Girdle,Girdle Control,Control
223,8,medium,0,23,0,Girdle,Girdle Control,Control
224,7,medium,0,8,0,Girdle,Girdle Control,Control
224,7,medium,0,10,0,Girdle,Girdle Control,Control
224,7,medium,0,35,0,Girdle,Girdle Control,Control
224,7,medium,0,36,0,Girdle,Girdle Control,Control
224,7,medium,0,38,0,Girdle,Girdle Control,Control
225,7,medium,0,5,0,Girdle,Girdle Control,Control
225,7,medium,0,7,0,Girdle,Girdle Control,Control
225,7,medium,0,10,0,Girdle,Girdle Control,Control
225,7,medium,0,18,0,Girdle,Girdle Control,Control
225,7,medium,0,37,0,Girdle,Girdle Control,Control
226,6,small,0,2,0,Girdle,Girdle Control,Control
226,6,small,0,22,0,Girdle,Girdle Control,Control
226,6,small,0,25,0,Girdle,Girdle Control,Control
226,6,small,0,37,0,Girdle,Girdle Control,Control
226,6,small,0,39,0,Girdle,Girdle Control,Control
227,7,medium,0,18,0,Girdle,Girdle Control,Control
227,7,medium,0,19,0,Girdle,Girdle Control,Control
227,7,medium,0,21,0,Girdle,Girdle Control,Control
227,7,medium,0,32,0,Girdle,Girdle Control,Control
227,7,medium,0,38,0,Girdle,Girdle Control,Control
228,8,medium,0,7,0,Girdle,Girdle Control,Control
228,8,medium,0,12,0,Girdle,Girdle Control,Control
228,8,medium,0,29,0,Girdle,Girdle Control,Control
228,8,medium,0,30,0,Girdle,Girdle Control,Control
228,8,medium,0,33,0,Girdle,Girdle Control,Control
229,7,medium,0,5,0,Girdle,Girdle Control,Control
229,7,medium,0,19,0,Girdle,Girdle Control,Control
229,7,medium,0,24,0,Girdle,Girdle Control,Control
229,7,medium,0,28,0,Girdle,Girdle Control,Control
229,7,medium,0,31,0,Girdle,Girdle Control,Control
230,10,large,0,20,0,Girdle,Girdle Control,Control
230,10,large,0,25,0,Girdle,Girdle Control,Control
230,10,large,0,26,0,Girdle,Girdle Control,Control
230,10,large,0,31,0,Girdle,Girdle Control,Control
230,10,large,0,39,0,Girdle,Girdle Control,Control
231,10,large,0,13,0,Girdle,Girdle Control,Control
231,10,large,0,24,0,Girdle,Girdle Control,Control
231,10,large,0,28,0,Girdle,Girdle Control,Control
231,10,large,0,30,0,Girdle,Girdle Control,Control
231,10,large,0,31,0,Girdle,Girdle Control,Control
232,7,medium,0,12,0,Girdle,Girdle Control,Control
232,7,medium,0,28,0,Girdle,Girdle Control,Control
232,7,medium,0,33,0,Girdle,Girdle Control,Control
232,7,medium,0,36,0,Girdle,Girdle Control,Control
232,7,medium,0,38,0,Girdle,Girdle Control,Control
233,9,medium,0,8,0,Girdle,Girdle Control,Control
233,9,medium,0,20,0,Girdle,Girdle Control,Control
233,9,medium,0,26,0,Girdle,Girdle Control,Control
233,9,medium,0,38,0,Girdle,Girdle Control,Control
233,9,medium,0,39,0,Girdle,Girdle Control,Control
234,8,medium,0,1,0,Girdle,Girdle Control,Control
234,8,medium,0,4,0,Girdle,Girdle Control,Control
234,8,medium,0,5,0,Girdle,Girdle Control,Control
234,8,medium,0,11,0,Girdle,Girdle Control,Control
234,8,medium,0,23,0,Girdle,Girdle Control,Control
235,10,large,0,8,0,Girdle,Girdle Control,Control
235,10,large,0,10,1,Girdle,Girdle Control,Control
235,10,large,0,35,0,Girdle,Girdle Control,Control
235,10,large,0,36,0,Girdle,Girdle Control,Control
235,10,large,0,38,0,Girdle,Girdle Control,Control
236,8,medium,0,5,0,Girdle,Girdle Control,Control
236,8,medium,0,7,0,Girdle,Girdle Control,Control
236,8,medium,0,10,0,Girdle,Girdle Control,Control
236,8,medium,0,18,0,Girdle,Girdle Control,Control
236,8,medium,0,37,0,Girdle,Girdle Control,Control
237,10,large,0,2,0,Girdle,Girdle Control,Control
237,10,large,0,22,0,Girdle,Girdle Control,Control
237,10,large,0,25,0,Girdle,Girdle Control,Control
237,10,large,0,37,0,Girdle,Girdle Control,Control
237,10,large,0,39,0,Girdle,Girdle Control,Control
238,7,medium,0,18,0,Girdle,Girdle Control,Control
238,7,medium,0,19,0,Girdle,Girdle Control,Control
238,7,medium,0,21,0,Girdle,Girdle Control,Control
238,7,medium,0,32,0,Girdle,Girdle Control,Control
238,7,medium,0,38,0,Girdle,Girdle Control,Control
239,8,medium,0,7,0,Girdle,Girdle Control,Control
239,8,medium,0,12,0,Girdle,Girdle Control,Control
239,8,medium,0,29,0,Girdle,Girdle Control,Control
239,8,medium,0,30,0,Girdle,Girdle Control,Control
239,8,medium,0,33,0,Girdle,Girdle Control,Control
240,7,medium,0,5,0,Girdle,Girdle Control,Control
240,7,medium,0,19,0,Girdle,Girdle Control,Control
240,7,medium,0,24,0,Girdle,Girdle Control,Control
240,7,medium,0,28,0,Girdle,Girdle Control,Control
240,7,medium,0,31,0,Girdle,Girdle Control,Control
241,10,large,0,20,0,Girdle,Girdle Control,Control
241,10,large,0,25,0,Girdle,Girdle Control,Control
241,10,large,0,26,0,Girdle,Girdle Control,Control
241,10,large,0,31,0,Girdle,Girdle Control,Control
241,10,large,0,39,0,Girdle,Girdle Control,Control
242,8,medium,0,13,0,Girdle,Girdle Control,Control
242,8,medium,0,24,0,Girdle,Girdle Control,Control
242,8,medium,0,28,0,Girdle,Girdle Control,Control
242,8,medium,0,30,0,Girdle,Girdle Control,Control
242,8,medium,0,31,0,Girdle,Girdle Control,Control
243,6,small,0,5,0,Girdle,Girdle Control,Control
243,6,small,0,7,0,Girdle,Girdle Control,Control
243,6,small,0,10,0,Girdle,Girdle Control,Control
243,6,small,0,18,0,Girdle,Girdle Control,Control
243,6,small,0,37,0,Girdle,Girdle Control,Control
244,9,medium,0,2,0,Girdle,Girdle Control,Control
244,9,medium,0,22,0,Girdle,Girdle Control,Control
244,9,medium,0,25,0,Girdle,Girdle Control,Control
244,9,medium,0,37,0,Girdle,Girdle Control,Control
244,9,medium,0,39,0,Girdle,Girdle Control,Control
245,9,medium,0,18,0,Girdle,Girdle Control,Control
245,9,medium,0,19,0,Girdle,Girdle Control,Control
245,9,medium,0,21,0,Girdle,Girdle Control,Control
245,9,medium,0,32,0,Girdle,Girdle Control,Control
245,9,medium,0,38,0,Girdle,Girdle Control,Control
246,9,medium,0,7,0,Girdle,Girdle Control,Control
246,9,medium,0,12,0,Girdle,Girdle Control,Control
246,9,medium,0,29,0,Girdle,Girdle Control,Control
246,9,medium,0,30,0,Girdle,Girdle Control,Control
246,9,medium,0,33,0,Girdle,Girdle Control,Control
247,8,medium,0,5,0,Girdle,Girdle Control,Control
247,8,medium,0,19,0,Girdle,Girdle Control,Control
247,8,medium,0,24,0,Girdle,Girdle Control,Control
247,8,medium,0,28,0,Girdle,Girdle Control,Control
247,8,medium,0,31,0,Girdle,Girdle Control,Control
248,6,small,0,20,0,Girdle,Girdle Control,Control
248,6,small,0,25,0,Girdle,Girdle Control,Control
248,6,small,0,26,0,Girdle,Girdle Control,Control
248,6,small,0,31,0,Girdle,Girdle Control,Control
248,6,small,0,39,0,Girdle,Girdle Control,Control
249,8,medium,0,4,0,Girdle,Girdle Control,Control
249,8,medium,0,7,0,Girdle,Girdle Control,Control
249,8,medium,0,12,0,Girdle,Girdle Control,Control
249,8,medium,0,13,0,Girdle,Girdle Control,Control
249,8,medium,0,34,0,Girdle,Girdle Control,Control
250,7,medium,0,17,0,Girdle,Girdle Control,Control
250,7,medium,0,19,0,Girdle,Girdle Control,Control
250,7,medium,0,20,0,Girdle,Girdle Control,Control
250,7,medium,0,27,0,Girdle,Girdle Control,Control
250,7,medium,0,33,0,Girdle,Girdle Control,Control
251,7,medium,0,1,0,Girdle,Girdle Control,Control
251,7,medium,0,4,0,Girdle,Girdle Control,Control
251,7,medium,0,5,0,Girdle,Girdle Control,Control
251,7,medium,0,11,0,Girdle,Girdle Control,Control
251,7,medium,0,23,0,Girdle,Girdle Control,Control
252,11,large,0,1,0,Girdle,Girdle Control,Control
252,11,large,0,4,0,Girdle,Girdle Control,Control
252,11,large,0,5,0,Girdle,Girdle Control,Control
252,11,large,0,11,0,Girdle,Girdle Control,Control
252,11,large,0,23,0,Girdle,Girdle Control,Control
253,14,xlarge,0,8,0,Girdle,Girdle Control,Control
253,14,xlarge,0,10,0,Girdle,Girdle Control,Control
253,14,xlarge,0,35,0,Girdle,Girdle Control,Control
253,14,xlarge,0,36,0,Girdle,Girdle Control,Control
253,14,xlarge,0,38,0,Girdle,Girdle Control,Control
254,15,xlarge,0,5,0,Girdle,Girdle Control,Control
254,15,xlarge,0,7,0,Girdle,Girdle Control,Control
254,15,xlarge,0,10,0,Girdle,Girdle Control,Control
254,15,xlarge,0,18,0,Girdle,Girdle Control,Control
254,15,xlarge,0,37,0,Girdle,Girdle Control,Control
255,16,xlarge,0,2,0,Girdle,Girdle Control,Control
255,16,xlarge,0,22,0,Girdle,Girdle Control,Control
255,16,xlarge,0,25,0,Girdle,Girdle Control,Control
255,16,xlarge,0,37,0,Girdle,Girdle Control,Control
255,16,xlarge,0,39,0,Girdle,Girdle Control,Control
256,8,medium,0,18,0,Girdle,Girdle Control,Control
256,8,medium,0,19,1,Girdle,Girdle Control,Control
256,8,medium,0,21,0,Girdle,Girdle Control,Control
256,8,medium,0,32,0,Girdle,Girdle Control,Control
256,8,medium,0,38,0,Girdle,Girdle Control,Control
258,9,medium,0,2,0,Girdle,Girdle Control,Control
258,9,medium,0,22,0,Girdle,Girdle Control,Control
258,9,medium,0,25,0,Girdle,Girdle Control,Control
258,9,medium,0,37,0,Girdle,Girdle Control,Control
258,9,medium,0,39,0,Girdle,Girdle Control,Control
259,13,xlarge,0,18,0,Girdle,Girdle Control,Control
259,13,xlarge,0,19,1,Girdle,Girdle Control,Control
259,13,xlarge,0,21,0,Girdle,Girdle Control,Control
259,13,xlarge,0,32,0,Girdle,Girdle Control,Control
259,13,xlarge,0,38,0,Girdle,Girdle Control,Control
260,8,medium,0,7,0,Girdle,Girdle Control,Control
260,8,medium,0,12,0,Girdle,Girdle Control,Control
260,8,medium,0,29,0,Girdle,Girdle Control,Control
260,8,medium,0,30,0,Girdle,Girdle Control,Control
260,8,medium,0,33,0,Girdle,Girdle Control,Control
261,8,medium,0,5,0,Girdle,Girdle Control,Control
261,8,medium,0,19,0,Girdle,Girdle Control,Control
261,8,medium,0,24,0,Girdle,Girdle Control,Control
261,8,medium,0,28,0,Girdle,Girdle Control,Control
261,8,medium,0,31,0,Girdle,Girdle Control,Control
1,9,medium,0,6,0,Control,Whole Control,Whole 1
1,9,medium,0,22,0,Control,Whole Control,Whole 1
1,9,medium,0,32,0,Control,Whole Control,Whole 1
2,7,medium,0,1,0,Control,Whole Control,Whole 1
2,7,medium,0,17,0,Control,Whole Control,Whole 1
2,7,medium,0,30,0,Control,Whole Control,Whole 1
3,8,medium,0,19,0,Control,Whole Control,Whole 1
3,8,medium,0,20,0,Control,Whole Control,Whole 1
3,8,medium,0,21,0,Control,Whole Control,Whole 1
4,9,medium,0,1,0,Control,Whole Control,Whole 1
4,9,medium,0,30,0,Control,Whole Control,Whole 1
4,9,medium,0,35,0,Control,Whole Control,Whole 1
5,8,medium,0,1,0,Control,Whole Control,Whole 1
5,8,medium,0,6,0,Control,Whole Control,Whole 1
5,8,medium,0,28,0,Control,Whole Control,Whole 1
6,7,medium,0,10,0,Control,Whole Control,Whole 1
6,7,medium,0,11,0,Control,Whole Control,Whole 1
6,7,medium,0,31,0,Control,Whole Control,Whole 1
7,10,large,0,23,0,Control,Whole Control,Whole 1
7,10,large,0,27,0,Control,Whole Control,Whole 1
7,10,large,0,28,0,Control,Whole Control,Whole 1
8,6,small,0,2,0,Control,Whole Control,Whole 1
8,6,small,0,14,1,Control,Whole Control,Whole 1
8,6,small,0,23,0,Control,Whole Control,Whole 1
9,9,medium,0,7,0,Control,Whole Control,Whole 1
9,9,medium,0,11,0,Control,Whole Control,Whole 1
9,9,medium,0,12,0,Control,Whole Control,Whole 1
10,7,medium,0,14,0,Control,Whole Control,Whole 1
10,7,medium,0,19,0,Control,Whole Control,Whole 1
10,7,medium,0,23,0,Control,Whole Control,Whole 1
11,8,medium,0,23,0,Control,Whole Control,Whole 1
11,8,medium,0,27,0,Control,Whole Control,Whole 1
11,8,medium,0,29,0,Control,Whole Control,Whole 1
