chiton,length,stimulus,response
37,9,Black,1
38,7,White,0
38,7,White,0
38,7,Black,1
38,7,White,0
38,7,White,0
38,7,Black,1
38,7,Black,1
38,7,White,0
38,7,Black,1
38,7,Black,1
39,6,Black,1
39,6,Black,1
39,6,Black,1
39,6,Black,0
39,6,White,0
39,6,White,1
39,6,White,0
39,6,White,0
39,6,Black,1
39,6,White,0
40,13,White,0
40,13,White,0
40,13,Black,1
40,13,Black,1
40,13,Black,1
40,13,White,0
40,13,White,0
40,13,White,0
40,13,Black,1
40,13,Black,1
